0,1,2,3,4,5,6,7,8
,,,,,,,,
,指標名,スポーツ施設,,,,,,
,出典,navitime,,,,,,
,年次,2026/01/16取得,,,,,,
,URL,https://www.navitime.co.jp/,,,,,,
,備考,(2023年度：1422件、2024年度：1582件2025年度：1647件),,,,,,
,,,,,,,,
,区,町丁目,エリア,住所,緯度,経度,施設名,種類
,千代田区,日比谷公園,-,千代田区日比谷公園1-6,35.6748794,139.7564528,日比谷公園庭球場,テニスコート
,千代田区,神田神保町１丁目,-,千代田区神田神保町1-6-1タキイ東京ビル1f,35.6963798,139.759374,石井スポーツ カンダコンペカン,スポーツ用品/スポーツウェア
,千代田区,神田神保１丁目,-,千代田区神田神保1-6-1タキイ東京ビル2f,35.6963798,139.759374,石井スポーツ 登山本店,スポーツ用品/スポーツウェア
,千代田区,神田小川町２丁目,-,千代田区神田小川町2-3-18露木第2ビル内,35.6939845,139.7645926,Patagonia(パタゴニア) 東京・神田,スポーツ用品/スポーツウェア
,千代田区,神田神保町１丁目,-,千代田区神田神保町1-24,35.6972735,139.7594013,KANDAHAR 本店,スキー/スノボショップ
,千代田区,神田小川町３丁目,-,千代田区神田小川町3-10,35.6961102,139.7610151,石井スポーツ 神田本館,スポーツ用品/スポーツウェア
,千代田区,神田小川町２丁目,-,千代田区神田小川町2-4-8myビル,35.6947585,139.7639938,ムラサキスポーツ 神田小川町店,スポーツ用品/スポーツウェア
,千代田区,丸の内２丁目,大丸有,千代田区丸の内2-5-2三菱ビルb1f,35.6797045,139.7632693,ASICS RUN TOKYO MARUNOUCHI(アシックスラン東京丸の内),スポーツ用品/スポーツウェア
,千代田区,神田小川町３丁目,-,千代田区神田小川町3-6,35.6951887,139.7622244,スーパースポーツゼビオ 東京御茶ノ水本店,スポーツ用品/スポーツウェア
,千代田区,内神田２丁目,-,千代田区内神田2-1-8,35.6891407,139.7675921,千代田区立スポーツセンター,スポーツ施設/運動公園
,千代田区,神田小川町３丁目,-,千代田区神田小川町3-4,35.695023,139.7626611,Victoria(ヴィクトリア) 御茶ノ水本店,スポーツ用品/スポーツウェア
,千代田区,神田小川町３丁目,-,千代田区神田小川町3-1,35.6944351,139.7621739,MIZUNO TOKYO(ミズノトウキョウ),スポーツ用品/スポーツウェア
