0,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
,指標名,駅,,,,,,,,,,
,出典,駅情報：駅データ.jp、乗降客数：国土交通省,,,,,,,,,,
,年次,2025(対象区は更新なし),,,,,,,,,,
,URL,駅情報：https://ekidata.jp/、乗降客数：http://nlftp.mlit.go.jp/ksj/,,,,,,,,,,
,備考,新幹線駅除く。,,,,,,,,,,
,,,,,,,,,,,,
,区,町丁,エリア,住所,緯度,経度,駅名,路線,事業者,乗降客数（2023年度）,駅コード（路線別）,駅コード（路線不問）
,港区,台場２丁目,-,東京都港区台場２－３,35.629813,139.778607,お台場海浜公園,東京臨海新交通臨海線,ゆりかもめ,13195,9931106,9931106
,江東区,青海１丁目,-,東京都江東区青海１丁目１－４９,35.621462,139.773157,東京国際クルーズターミナル,東京臨海新交通臨海線,ゆりかもめ,2963,9931108,9931108
,江東区,青海２丁目,-,東京都江東区青海２－２９,35.617593,139.779327,テレコムセンター,東京臨海新交通臨海線,ゆりかもめ,8505,9931109,9931109
,港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋１丁目５,35.662871,139.759985,汐留,東京臨海新交通臨海線,ゆりかもめ,7463,9931102,9930120
,港区,台場２丁目,-,東京都港区台場２－６,35.625908,139.771435,台場,東京臨海新交通臨海線,ゆりかもめ,20606,9931107,9931107
,江東区,有明３丁目,-,東京都江東区有明２－５,35.634596,139.793269,有明,東京臨海新交通臨海線,ゆりかもめ,9242,9931112,9931112
,江東区,有明３丁目,-,東京都江東区有明三丁目６－１５,35.630158,139.791228,東京ビッグサイト,東京臨海新交通臨海線,ゆりかもめ,19352,9931111,9931111
,港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋一丁目５－１３,35.665503,139.759644,新橋,東京臨海新交通臨海線,ゆりかもめ,56027,9931101,1130102
,港区,海岸１丁目,-,東京都港区海岸１－１３－１０,35.654099,139.762037,竹芝,東京臨海新交通臨海線,ゆりかもめ,4833,9931103,9931103
,港区,海岸３丁目,-,東京都港区海岸３－２２－１２,35.641773,139.757852,芝浦ふ頭,東京臨海新交通臨海線,ゆりかもめ,4907,9931105,9931105
,港区,海岸２丁目,-,東京都港区海岸２－７－６８,35.649136,139.75906,日の出,東京臨海新交通臨海線,ゆりかもめ,2404,9931104,9931104
,江東区,青海１丁目,-,東京都江東区青海１,35.62467,139.781132,青海,東京臨海新交通臨海線,ゆりかもめ,1483,9931110,9931110
,江東区,豊洲６丁目,-,東京都江東区豊洲６丁目,35.648718,139.789996,新豊洲,東京臨海新交通臨海線,ゆりかもめ,11256,9931115,9931115
,江東区,豊洲６丁目,-,東京都江東区豊洲６丁目,35.645684,139.78564,市場前,東京臨海新交通臨海線,ゆりかもめ,13997,9931114,9931114
,江東区,有明１丁目,-,東京都江東区有明１丁目,35.639964,139.78888,有明テニスの森,東京臨海新交通臨海線,ゆりかもめ,8148,9931113,9931113
,江東区,豊洲５丁目,-,東京都江東区豊洲二丁目２,35.653792,139.795414,豊洲,東京臨海新交通臨海線,ゆりかもめ,33957,9931116,2800622
,渋谷区,神泉町,-,東京都渋谷区神泉町４－６,35.657244,139.693579,神泉,井の頭線,京王電鉄,10870,2400602,2400602
,渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂一丁目４－１,35.6587,139.700872,渋谷,井の頭線,京王電鉄,285759,2400601,1130205
,渋谷区,笹塚１丁目,-,東京都渋谷区笹塚１－５６－７,35.673758,139.667251,笹塚,京王線,京王電鉄,0,2400104,2400104
