0,1,2,3,4,5,6,7,8
,,,,,,,,
,指標名,スーパー,,,,,,
,出典,navitime,,,,,,
,年次,2026/01/16取得,,,,,,
,URL,https://www.navitime.co.jp/,,,,,,
,備考,(2023年度：593件、2024年度：610件、2025年度：607件),,,,,,
,,,,,,,,
,区,町丁目,エリア,住所,緯度,経度,施設名,種類
,千代田区,岩本町２丁目,-,千代田区岩本町2-12-5早川トナカイビル,35.6944006,139.7766,まいばすけっと 岩本町2丁目店,その他スーパー
,千代田区,丸の内１丁目,大丸有,千代田区丸の内1-9-1東京駅構内・granstamarunouchib1f,35.6819822,139.7666071,紀ノ国屋アントレ グランスタ丸の内店,その他スーパー
,千代田区,神田神保町２丁目,-,千代田区神田神保町2-40-5東久ビル,35.6977769,139.7555113,まいばすけっと 神田神保町店,その他スーパー
,千代田区,神田淡路町２丁目,-,千代田区神田淡路町2-105ワテラスモールb1f,35.6975141,139.7675829,Olympic(オリンピック) 淡路町店,その他スーパー
,千代田区,神田和泉町,-,千代田区神田和泉町2-13,35.6998659,139.780175,ライフ 神田和泉町店,その他スーパー
,千代田区,外神田６丁目,-,千代田区外神田6-13-11ミクニビル,35.7032487,139.7707494,まいばすけっと 末広町駅前店,その他スーパー
,千代田区,九段南３丁目,-,千代田区九段南3-3-4ニューライフビル,35.6917416,139.7418807,まいばすけっと 九段南3丁目店,その他スーパー
,千代田区,神田多町２丁目,-,千代田区神田多町2-1神田東山ビル,35.6929885,139.7694116,まいばすけっと 神田駅北口店,その他スーパー
,千代田区,神田東松下町,-,千代田区神田東松下町25アルファグランデ千桜タワー,35.6949407,139.7743753,まいばすけっと 岩本町駅南店,その他スーパー
,千代田区,神田佐久間町３丁目,-,千代田区神田佐久間町3-21-5東神田ビル,35.6980479,139.7786871,まいばすけっと 神田佐久間町店,その他スーパー
,千代田区,神田錦町２丁目,-,千代田区神田錦町2-2-1,35.6931713,139.7632877,サミットストア神田スクエア店,その他スーパー
,千代田区,丸の内１丁目,大丸有,千代田区丸の内1-9-1東京駅構内・granstatokyo1f,35.6819822,139.7666071,紀ノ国屋アントレ グランスタ店,その他スーパー
,千代田区,神田神保町１丁目,-,千代田区神田神保町1-103東京パークタワー,35.6942062,139.7592182,まいばすけっと 神保町駅前店,その他スーパー
,千代田区,九段北１丁目,-,千代田区九段北1-4-5北の丸グラスゲート,35.6965518,139.7514633,まいばすけっと 九段北1丁目店,その他スーパー
,千代田区,神田神保町３丁目,-,千代田区神田神保町3-3神保町sf3ビル1f,35.6953889,139.7543897,成城石井 神保町店,その他スーパー
,千代田区,神田鍛冶町３丁目,-,千代田区神田鍛冶町3-3-7-4ユニゾ神田鍛冶町3-ビル,35.6938359,139.7706392,まいばすけっと 神田鍛冶町店,その他スーパー
,千代田区,麹町１丁目,-,千代田区麹町1-8jfnセンター,35.6845411,139.7431687,まいばすけっと 半蔵門駅前店,その他スーパー
,千代田区,岩本町３丁目,-,千代田区岩本町3-5-5ユニゾ岩本町3-ビル(2021年4月より岩本町3-ビルに建物名変更),35.6945668,139.7762877,まいばすけっと 岩本町3丁目店,その他スーパー
,千代田区,飯田橋４丁目,-,千代田区飯田橋4-5-14飯田橋サンポーロハイツ,35.70049789999999,139.7475246,まいばすけっと 飯田橋駅南店,その他スーパー
,千代田区,内神田２丁目,-,千代田区内神田2-11-6,35.6911873,139.7674795,まいばすけっと 神田駅西口商店街店,その他スーパー
,千代田区,丸の内１丁目,大丸有,千代田区丸の内1-5-1新丸の内ビルb1f,35.68259949999999,139.7643435,成城石井 新丸ビル店,その他スーパー
,千代田区,外神田１丁目,-,千代田区外神田1-17-6アトレ秋葉原13f,35.6984138,139.7723965,成城石井 アトレ秋葉原1店,その他スーパー
,千代田区,丸の内１丁目,大丸有,千代田区丸の内1-9-1,35.682111,139.7691588,成城石井 グランゲート東京駅店,その他スーパー
,千代田区,麹町３丁目,-,千代田区麹町3-3-6麹町フロントビル1f,35.6836995,139.738658,成城石井 麹町店,その他スーパー
