0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,,,,,,,,,,,,,
,指標名,食べログアワード受賞レストラン,,,,,,,,,,,,,
,出典,The Tabelog Award 2026,,,,,,,,,,,,,
,年次,2026/01/29取得,,,,,,,,,,,,,
,URL,https://award.tabelog.com/restaurants,,,,,,,,,,,,,
,備考,(2023年度：137.0件、2024年度：185件、2025年度：205件),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,区,町丁,エリア,住所,緯度,経度,施設名,ジャンル,アワード,受賞・選出歴,星数,口コミ数,夜予算,昼予算,URL
,江東区,東陽１丁目,-,江東区東陽1-11-3,35.6684904,139.8103301,commedia,イタリアン、パスタ,BRONZE,"2026/bronze, 2025/hyakumeiten",4.21,136,"￥30,000～￥39,999",-,https://tabelog.com/tokyo/A1313/A131303/13276923/
,江東区,福住１丁目,-,江東区福住1-3-1,35.6755048,139.7930987,みかわ 是山居,天ぷら,BRONZE,"2026/bronze, 2025/bronze, 2024/bronze, 2023/bronze, 2022/bronze, 2021/bronze, 2020/bronze, 2019/bronze, 2025/hyakumeiten, 2023/hyakumeiten, 2022/hyakumeiten",4.25,784,"￥20,000～￥29,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1313/A131303/13090866/
,江東区,常盤２丁目,-,江東区常盤2-14-11,35.6843323,139.7983188,焼肉 静龍苑,焼肉,BRONZE,"2026/bronze, 2025/bronze, 2024/bronze, 2023/bronze, 2022/bronze, 2021/bronze, 2025/hyakumeiten, 2024/hyakumeiten, 2023/hyakumeiten, 2022/hyakumeiten, 2021/hyakumeiten, 2020/hyakumeiten",4.33,1768,-,-,https://tabelog.com/tokyo/A1313/A131303/13237978/
,港区,西麻布３丁目,-,港区西麻布3-21-3,35.6598526,139.7251681,蒼,イノベーティブ、フレンチ,GOLD,"2026/gold, 2025/gold, 2024/gold, 2023/gold, 2022/silver, 2021/silver, 2025/hyakumeiten",4.62,524,"￥60,000～￥79,999",-,https://tabelog.com/tokyo/A1307/A130701/13243463/
,港区,赤坂３丁目,赤坂,港区赤坂3-11-7,35.6745648,139.7375604,赤坂 詠月,日本料理,BRONZE,"2026/bronze, 2025/bronze, 2024/bronze, 2023/bronze, 2022/bronze, 2021/bronze, 2020/bronze, 2019/bronze, 2025/hyakumeiten, 2023/hyakumeiten, 2021/hyakumeiten",4.04,353,"￥20,000～￥29,999",-,https://tabelog.com/tokyo/A1308/A130801/13116523/
,港区,赤坂６丁目,赤坂,港区赤坂6-3-13,35.6708882,139.7352853,赤坂おぎ乃,日本料理,SILVER,"2026/silver, 2025/silver, 2024/silver, 2023/bronze, 2025/hyakumeiten, 2023/hyakumeiten, 2021/hyakumeiten",4.49,367,"￥40,000～￥49,999",-,https://tabelog.com/tokyo/A1308/A130801/13245499/
,港区,赤坂６丁目,赤坂,港区赤坂6-13-8,35.6699391,139.7340557,赤坂 菊乃井,日本料理,BRONZE,"2026/bronze, 2025/bronze, 2023/bronze, 2022/bronze, 2021/bronze, 2020/bronze, 2019/bronze, 2018/-, 2025/hyakumeiten, 2023/hyakumeiten, 2021/hyakumeiten",3.94,546,"￥20,000～￥29,999","￥15,000～￥19,999",https://tabelog.com/tokyo/A1308/A130801/13002514/
,港区,赤坂３丁目,赤坂,港区赤坂3-9-12,35.6768672,139.7362432,赤坂 らいもん,焼肉、ホルモン,GOLD,"2026/gold, 2025/silver, 2024/silver, 2023/gold, 2022/silver, 2021/silver, 2020/silver, 2025/hyakumeiten, 2024/hyakumeiten, 2023/hyakumeiten, 2022/hyakumeiten, 2021/hyakumeiten, 2020/hyakumeiten, 2019/hyakumeiten",4.52,538,"￥15,000～￥19,999",-,https://tabelog.com/tokyo/A1308/A130801/13224635/
,港区,赤坂３丁目,赤坂,港区赤坂3-12-2,35.674048,139.7378193,茜坂大沼,日本料理、日本酒バー,BRONZE,"2026/bronze, 2025/hyakumeiten, 2023/hyakumeiten",3.96,280,"￥30,000～￥39,999","￥15,000～￥19,999",https://tabelog.com/tokyo/A1308/A130801/13244397/
,港区,麻布十番２丁目,-,港区麻布十番2-8-6,35.6555762,139.7346486,麻布十番 秦野よしき,寿司、海鮮、日本料理,BRONZE,"2026/bronze, 2025/hyakumeiten, 2022/hyakumeiten",4.01,198,"￥30,000～￥39,999",-,https://tabelog.com/tokyo/A1307/A130702/13158874/
,港区,麻布十番１丁目,-,港区麻布十番1-5-5,35.65734330000001,139.7329229,麻布 幸村,日本料理,BRONZE,"2026/bronze, 2025/bronze, 2024/bronze, 2023/bronze, 2022/bronze, 2021/bronze, 2020/bronze, 2019/bronze, 2025/hyakumeiten, 2023/hyakumeiten, 2021/hyakumeiten",3.95,176,-,-,https://tabelog.com/tokyo/A1307/A130702/13005316/
,港区,六本木３丁目,六本木,港区六本木3-8-8,35.6633255,139.7347099,味満ん,ふぐ,SILVER,"2026/silver, 2025/bronze, 2024/bronze, 2023/bronze, 2022/silver, 2021/bronze, 2020/silver, 2019/silver",4.27,307,-,-,https://tabelog.com/tokyo/A1307/A130701/13001332/
,港区,西麻布２丁目,-,港区西麻布2-24-7,35.6610177,139.721816,AZUR et MASA UEKI,フレンチ,BRONZE,"2026/bronze, 2025/bronze, 2023/bronze, 2022/bronze, 2021/bronze, 2020/bronze, 2025/hyakumeiten, 2023/hyakumeiten, 2021/hyakumeiten",4.08,613,"￥20,000～￥29,999","￥15,000～￥19,999",https://tabelog.com/tokyo/A1307/A130701/13206559/
,港区,赤坂６丁目,赤坂,港区赤坂6-3-16,35.6710549,139.7353794,あら輝,寿司,BRONZE,"2026/bronze, 2025/hyakumeiten",4.23,84,-,-,https://tabelog.com/tokyo/A1308/A130801/13296725/
,港区,白金６丁目,-,港区白金6-5-3,35.6444355,139.724759,アルゴリズム,フレンチ,BRONZE,"2026/bronze, 2025/bronze, 2020/bronze, 2019/bronze, 2025/hyakumeiten, 2023/hyakumeiten, 2021/hyakumeiten",3.96,506,"￥20,000～￥29,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1316/A131602/13213150/
,港区,南麻布２丁目,-,港区南麻布2-10-13,35.6479882,139.7359092,いちかわ,寿司,BRONZE,"2026/bronze, 2025/bronze, 2024/bronze, 2023/bronze, 2022/bronze, 2021/bronze, 2020/bronze, 2019/bronze, 2025/hyakumeiten, 2022/hyakumeiten, 2021/hyakumeiten",4.12,283,-,-,https://tabelog.com/tokyo/A1316/A131602/13210722/
,港区,西麻布３丁目,-,港区西麻布3-13-14,35.6570443,139.7240834,うら松,焼肉,BRONZE,"2026/bronze, 2025/hyakumeiten",4.14,73,"￥30,000～￥39,999",-,https://tabelog.com/tokyo/A1307/A130703/13297307/
,港区,六本木３丁目,六本木,港区六本木3-1-1,35.665688,139.7381886,エディション・コウジ シモムラ,フレンチ、イノベーティブ,BRONZE,"2026/bronze, 2025/bronze, 2020/bronze, 2019/bronze, 2018/-, 2017/-, 2025/hyakumeiten, 2023/hyakumeiten, 2021/hyakumeiten",4.03,720,"￥30,000～￥39,999","￥15,000～￥19,999",https://tabelog.com/tokyo/A1307/A130701/13042074/
,港区,芝大門１丁目,-,港区芝大門1-2-2,35.6601761,139.7545584,御成門はる,日本料理,BRONZE,"2026/bronze, 2025/bronze, 2022/bronze, 2025/hyakumeiten, 2023/hyakumeiten, 2021/hyakumeiten",4.15,224,"￥40,000～￥49,999",-,https://tabelog.com/tokyo/A1314/A131401/13233057/
,港区,南麻布４丁目,-,港区南麻布4-5-66,35.6511293,139.7237414,薫 HIROO,イノベーティブ、フレンチ、イタリアン,BRONZE,"2026/bronze, 2025/bronze, 2024/bronze, 2023/bronze, 2022/bronze, 2021/bronze, 2025/hyakumeiten",4.13,231,"￥50,000～￥59,999","￥50,000～￥59,999",https://tabelog.com/tokyo/A1307/A130703/13238442/
,港区,東麻布２丁目,-,港区東麻布2-14-8,35.65714,139.7405749,膳司 水光庵,日本料理,BRONZE,"2026/bronze, 2025/hyakumeiten",4.18,103,"￥40,000～￥49,999",-,https://tabelog.com/tokyo/A1307/A130702/13286120/
,港区,西麻布２丁目,-,港区西麻布2-16-4,35.6617,139.7207781,割烹 室井,日本料理,BRONZE,"2026/bronze, 2025/bronze, 2025/hyakumeiten",4.21,115,"￥50,000～￥59,999",-,https://tabelog.com/tokyo/A1307/A130701/13286652/
,港区,六本木４丁目,六本木,港区六本木4-12-5,35.6644785,139.7316233,感情,日本料理、鳥料理、そば,BRONZE,"2026/bronze, 2025/bronze, 2025/hyakumeiten, 2023/hyakumeiten",4.19,229,"￥30,000～￥39,999",-,https://tabelog.com/tokyo/A1307/A130701/13267945/
,港区,愛宕１丁目,虎ノ門,港区愛宕1-1-1,35.6663176,139.748281,かんだ,日本料理,BRONZE,"2026/bronze, 2025/hyakumeiten, 2023/hyakumeiten",4.04,153,"￥60,000～￥79,999",-,https://tabelog.com/tokyo/A1308/A130802/13270674/
,港区,赤坂３丁目,赤坂,港区赤坂3-21-10,35.6764362,139.735884,きざ㐂,寿司,BRONZE,"2026/bronze, 2025/bronze, 2025/hyakumeiten, 2022/hyakumeiten, 2021/hyakumeiten",4.06,557,"￥30,000～￥39,999","￥15,000～￥19,999",https://tabelog.com/tokyo/A1308/A130801/13221218/
,港区,芝公園１丁目,-,港区芝公園1-7-10,35.6574137,139.7526412,くろぎ,日本料理,BRONZE,"2026/bronze, 2025/bronze, 2024/bronze, 2023/bronze, 2022/bronze, 2021/bronze, 2020/bronze, 2019/bronze, 2025/hyakumeiten, 2023/hyakumeiten, 2021/hyakumeiten",4.17,463,"￥50,000～￥59,999","￥50,000～￥59,999",https://tabelog.com/tokyo/A1314/A131401/13094789/
,港区,南青山４丁目,-,港区南青山4-16-15,35.6660014,139.7167799,くろ﨑,寿司,BRONZE,"2026/bronze, 2025/bronze, 2025/hyakumeiten",4.37,305,"￥60,000～￥79,999",-,https://tabelog.com/tokyo/A1306/A130602/13268824/
,港区,西麻布３丁目,-,港区西麻布3-17-23,35.6580758,139.7239833,グルマンディーズ,ビストロ,SILVER,"2026/silver, 2025/silver, 2024/gold, 2023/silver, 2022/silver, 2021/silver, 2020/silver, 2019/silver, 2025/hyakumeiten, 2023/hyakumeiten, 2021/hyakumeiten",4.47,390,"￥40,000～￥49,999",-,https://tabelog.com/tokyo/A1307/A130701/13190448/
,港区,西新橋２丁目,虎ノ門広域,港区西新橋2-13-6,35.6668319,139.7516011,港式料理 鴻禧,中華料理,BRONZE,"2026/bronze, 2025/bronze, 2024/hyakumeiten, 2023/hyakumeiten",4.19,158,"￥20,000～￥29,999",-,https://tabelog.com/tokyo/A1308/A130802/13274319/
,港区,六本木３丁目,六本木,港区六本木3-8-7,35.6634299,139.7345968,虎峰,中華料理,BRONZE,"2026/bronze, 2025/bronze, 2024/bronze, 2023/bronze, 2022/bronze, 2021/bronze, 2020/silver, 2019/silver, 2024/hyakumeiten, 2023/hyakumeiten, 2021/hyakumeiten",4.25,761,"￥30,000～￥39,999",-,https://tabelog.com/tokyo/A1307/A130701/13194122/
,港区,南麻布４丁目,-,港区南麻布4-7-5,35.6495836,139.7283406,茶禅華,中華料理,GOLD,"2026/gold, 2025/gold, 2024/gold, 2023/gold, 2022/gold, 2021/gold, 2020/silver, 2019/gold, 2024/hyakumeiten, 2023/hyakumeiten, 2021/hyakumeiten",4.61,832,"￥50,000～￥59,999",-,https://tabelog.com/tokyo/A1307/A130703/13205298/
,港区,白金台５丁目,-,港区白金台5-13-14,35.6377436,139.7227802,三和,イタリアン、ステーキ、バル,SILVER,"2026/silver, 2025/silver, 2024/silver, 2025/hyakumeiten, 2023/hyakumeiten",4.45,431,"￥20,000～￥29,999",-,https://tabelog.com/tokyo/A1316/A131602/13264755/
,港区,白金台４丁目,-,港区白金台4-2-7,35.6393592,139.7281112,ShinoiS,中華料理,BRONZE,"2026/bronze, 2025/bronze, 2024/bronze, 2023/bronze, 2022/bronze, 2021/silver, 2024/hyakumeiten, 2023/hyakumeiten, 2021/hyakumeiten",4.26,362,"￥50,000～￥59,999",-,https://tabelog.com/tokyo/A1316/A131602/13241948/
,港区,白金１丁目,-,港区白金1-29-13,35.643222,139.7336488,島津,寿司,GOLD,"2026/gold, 2025/silver, 2024/silver, 2023/silver, 2022/bronze, 2025/hyakumeiten, 2022/hyakumeiten, 2021/hyakumeiten",4.54,521,"￥40,000～￥49,999",-,https://tabelog.com/tokyo/A1316/A131602/13252991/
,港区,虎ノ門５丁目,虎ノ門,港区虎ノ門5-8-1,35.6622338,139.7438872,食堂 aca,スペイン料理,BRONZE,2026/bronze,4.22,247,"￥20,000～￥29,999",-,https://tabelog.com/tokyo/A1307/A130704/13296958/
,港区,新橋２丁目,虎ノ門広域,港区新橋2-15-10,35.6664605,139.7563733,新ばし しみづ,寿司,BRONZE,"2026/bronze, 2025/silver, 2024/bronze, 2023/bronze, 2022/bronze, 2021/bronze, 2020/silver, 2019/bronze, 2025/hyakumeiten, 2022/hyakumeiten, 2021/hyakumeiten",4.33,753,"￥20,000～￥29,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1301/A130103/13002892/
,港区,新橋５丁目,虎ノ門広域,港区新橋5-31-3,35.6624582,139.7553081,新ばし 星野,日本料理,GOLD,"2026/gold, 2025/gold, 2024/gold, 2023/gold, 2022/gold, 2021/gold, 2020/gold, 2018/-, 2025/hyakumeiten, 2023/hyakumeiten, 2021/hyakumeiten",4.70,303,-,-,https://tabelog.com/tokyo/A1314/A131401/13136847/
,港区,赤坂３丁目,赤坂,港区赤坂3-9-2,35.6772902,139.7362154,時限堂,日本料理,BRONZE,"2026/bronze, 2025/hyakumeiten",4.15,270,"￥50,000～￥59,999",-,https://tabelog.com/tokyo/A1308/A130801/13292021/
,港区,西麻布３丁目,-,港区西麻布3-18-10,35.6591061,139.7260647,Ji-Cube,中華料理、四川料理,SILVER,"2026/silver, 2024/hyakumeiten, 2023/hyakumeiten",4.19,505,"￥20,000～￥29,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1307/A130701/13259432/
,港区,東麻布１丁目,-,港区東麻布1-29-15,35.6553562,139.7425699,すが弥,寿司,BRONZE,"2026/bronze, 2025/bronze, 2024/bronze, 2023/bronze, 2022/bronze, 2021/bronze, 2025/hyakumeiten, 2022/hyakumeiten, 2021/hyakumeiten",4.08,525,"￥60,000～￥79,999",-,https://tabelog.com/tokyo/A1314/A131401/13228776/
,港区,麻布台１丁目,虎ノ門,港区麻布台1-11-10,35.6609477,139.743757,SUGALABO,イノベーティブ、創作料理,SILVER,"2026/silver, 2025/silver, 2024/silver, 2023/silver, 2022/silver, 2021/silver, 2020/silver, 2019/gold, 2025/hyakumeiten",4.49,798,"￥50,000～￥59,999",-,https://tabelog.com/tokyo/A1307/A130704/13182678/
,港区,北青山３丁目,-,港区北青山3-10-13,35.6642498,139.7104752,鮨 あお,寿司,BRONZE,"2026/bronze, 2025/bronze, 2025/hyakumeiten, 2022/hyakumeiten, 2021/hyakumeiten",4.09,316,"￥30,000～￥39,999","￥30,000～￥39,999",https://tabelog.com/tokyo/A1306/A130602/13246982/
,港区,六本木１丁目,虎ノ門,港区六本木1-4-5,35.6656056,139.7394165,鮨 さいとう,寿司,GOLD,"2026/gold, 2025/gold, 2024/gold, 2023/gold, 2022/gold, 2021/gold, 2020/gold, 2019/gold, 2025/hyakumeiten, 2022/hyakumeiten, 2021/hyakumeiten",4.63,1321,"￥50,000～￥59,999","￥50,000～￥59,999",https://tabelog.com/tokyo/A1308/A130802/13015251/
,港区,元麻布３丁目,-,港区元麻布3-6-34,35.6570579,139.7287062,鮨しゅんじ,寿司,SILVER,"2026/silver, 2025/bronze, 2025/hyakumeiten",4.40,193,"￥50,000～￥59,999",-,https://tabelog.com/tokyo/A1307/A130701/13282687/
,港区,赤坂４丁目,赤坂,港区赤坂4-2-2,35.6761426,139.7356764,すし匠 齋藤,寿司,BRONZE,"2026/bronze, 2025/bronze, 2024/bronze, 2023/bronze, 2022/bronze, 2021/bronze, 2020/bronze, 2019/bronze, 2025/hyakumeiten, 2022/hyakumeiten, 2021/hyakumeiten",4.31,491,-,-,https://tabelog.com/tokyo/A1308/A130801/13023988/
,港区,元赤坂１丁目,赤坂,港区元赤坂1-5-20,35.6775332,139.7324515,鮨 はしぐち,寿司,BRONZE,"2026/bronze, 2025/bronze, 2024/bronze, 2023/bronze, 2022/silver, 2021/silver, 2020/bronze, 2019/silver, 2025/hyakumeiten, 2022/hyakumeiten, 2021/hyakumeiten",4.09,260,-,-,https://tabelog.com/tokyo/A1308/A130801/13134517/
,港区,麻布十番１丁目,-,港区麻布十番1-5-18,35.6566133,139.7336987,鮓 ふじなが,寿司,BRONZE,"2026/bronze, 2025/hyakumeiten",4.13,237,"￥60,000～￥79,999",-,https://tabelog.com/tokyo/A1307/A130702/13265370/
,港区,南青山３丁目,-,港区南青山3-14-27,35.6655992,139.7146293,鮨 ます田,寿司,BRONZE,"2026/bronze, 2025/bronze, 2025/hyakumeiten, 2022/hyakumeiten",4.15,182,"￥40,000～￥49,999","￥40,000～￥49,999",https://tabelog.com/tokyo/A1306/A130602/13268503/
,港区,白金５丁目,-,港区白金5-7-8,35.6444824,139.7276922,鮨 まつうら,寿司、日本料理,BRONZE,"2026/bronze, 2025/bronze, 2025/hyakumeiten, 2022/hyakumeiten",4.22,279,"￥30,000～￥39,999","￥30,000～￥39,999",https://tabelog.com/tokyo/A1316/A131602/13239788/
,港区,麻布十番１丁目,-,港区麻布十番1-6-1,35.6566963,139.7343454,鮨 めい乃,寿司,SILVER,"2026/silver, 2025/silver, 2025/hyakumeiten",4.42,134,"￥50,000～￥59,999",-,https://tabelog.com/tokyo/A1307/A130702/13292357/
,港区,南青山２丁目,-,港区南青山2-11-11,35.6712475,139.7209746,鮨 龍次郎,寿司,SILVER,"2026/silver, 2025/silver, 2024/silver, 2023/silver, 2022/silver, 2021/bronze, 2025/hyakumeiten, 2022/hyakumeiten, 2021/hyakumeiten",4.40,866,"￥30,000～￥39,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1306/A130603/13240787/
,港区,西麻布１丁目,-,港区西麻布1-9-5,35.6611846,139.7253052,鈴田式,日本料理,BRONZE,"2026/bronze, 2025/bronze, 2025/hyakumeiten",4.23,358,"￥60,000～￥79,999",-,https://tabelog.com/tokyo/A1307/A130701/13293100/
