0,1,2,3,4,5,6,7,8
,,,,,,,,
,指標名,神社・寺院・教会,,,,,,
,出典,navitime,,,,,,
,年次,2026/01/16取得,,,,,,
,URL,https://www.navitime.co.jp/,,,,,,
,備考,2023年度：859件、2024年度：885件、2025年度：837件。数が減少した原因として去年の一部施設のダブルカウントや、navitimeの更新がある。宗教法人の関連施設（職業紹介場など）削除済み,,,,,,
,,,,,,,,
,区,町丁目,エリア,住所,緯度,経度,施設名,種類
,千代田区,永田町２丁目,赤坂,千代田区永田町2-10-5,35.6745509,139.7403246,日枝神社,神社
,千代田区,九段北３丁目,-,千代田区九段北3-1-1,35.6952812,139.7437033,靖国神社,神社
,千代田区,富士見２丁目,-,千代田区富士見2-4-1,35.7001703,139.7466417,東京大神宮,神社
,千代田区,神田駿河台１丁目,-,千代田区神田駿河台1-2-3,35.6964457,139.7630816,太田姫稲荷神社,神社
,千代田区,内神田１丁目,-,千代田区内神田1-6-8,35.6899445,139.7666053,御宿稲荷神社,神社
,千代田区,神田三崎町２丁目,-,千代田区神田三崎町2-9-12,35.7017181,139.7543845,三崎稲荷神社,神社
,千代田区,内神田３丁目,-,千代田区内神田3-10-1,35.6911711,139.7693428,佐竹稲荷神社,神社
,千代田区,神田司町２丁目,-,千代田区神田司町2-6,35.6937645,139.767883,真徳稲荷神社,神社
,千代田区,神田須田町２丁目,-,千代田区神田須田町2-25-1,35.6966842,139.7734948,柳森神社,神社
,千代田区,平河町１丁目,-,千代田区平河町1-7-5,35.6824276,139.7407713,平河天満宮,神社
,千代田区,神田小川町３丁目,-,千代田区神田小川町3-9-1,35.6941857,139.7621145,五十稲荷神社,神社
,千代田区,九段北１丁目,-,千代田区九段北1-14-21,35.6962464,139.7499277,築土神社,神社
,千代田区,永田町２丁目,赤坂,千代田区永田町2-10,35.6746528,139.7399753,山王稲荷神社,神社
,中央区,日本橋小網町,-,中央区日本橋小網町16-23,35.6841867,139.7805694,小網神社,神社
,中央区,日本橋室町２丁目,日八京,中央区日本橋室町2-4-14,35.6873122,139.7744533,福徳神社 (芽吹稲荷),神社
,中央区,佃１丁目,-,中央区佃1-1-14,35.668047,139.7834305,住吉神社,神社
,中央区,湊１丁目,-,中央区湊1-6-7,35.6723278,139.7798754,鉄砲洲稲荷神社,神社
,中央区,日本橋人形町２丁目,-,中央区日本橋人形町2-25-20,35.6868756,139.7840974,末広神社,神社
,中央区,銀座７丁目,-,中央区銀座7-8-14,35.6690349,139.762134,豊岩稲荷神社,神社
,中央区,日本橋人形町２丁目,-,中央区日本橋人形町2-15-2,35.6847492,139.7854478,松島神社,神社
,中央区,日本橋浜町２丁目,-,中央区日本橋浜町2-11-6,35.6880783,139.785318,笠間稲荷神社東京別社,神社
,中央区,日本橋堀留町１丁目,-,中央区日本橋堀留町1-10-2,35.6884454,139.7796757,椙森神社,神社
,中央区,日本橋兜町,-,中央区日本橋兜町20-2,35.678649,139.7765056,鳥居稲荷神社,神社
,中央区,日本橋茅場町１丁目,-,中央区日本橋茅場町1-6-16,35.680949,139.7790668,日枝神社日本橋摂社,神社
,中央区,日本橋人形町１丁目,-,中央区日本橋人形町1-12-10,35.683912,139.7836045,茶ノ木神社,神社
,中央区,日本橋蛎殻町２丁目,-,中央区日本橋蛎殻町2-4-1,35.6834085,139.785258,水天宮・寳生辨財天,神社
,中央区,築地６丁目,-,中央区築地6-20-37,35.6634848,139.7715569,波除神社,神社
,中央区,築地６丁目,-,中央区築地6-20-37,35.6634848,139.7715569,築地・波除神社,神社
,中央区,日本橋本町３丁目,日八京,中央区日本橋本町3-10,35.6893272,139.7771094,宝田神社,神社
,中央区,新川１丁目,-,中央区新川1-31-4,35.6758202,139.7863041,海渡稲荷神社,神社
,中央区,八丁堀３丁目,-,中央区八丁堀3-24-11,35.6750737,139.7779974,今村幸稲荷神社,神社
,中央区,銀座３丁目,-,中央区銀座3-8-10,35.6712857,139.7672247,朝日稲荷神社,神社
,中央区,日本橋本町１丁目,日八京,中央区日本橋本町1-8,35.6854373,139.7778982,常磐稲荷神社,神社
,中央区,日本橋茅場町１丁目,-,中央区日本橋茅場町1-6-16,35.680949,139.7790668,明徳稲荷神社,神社
,中央区,日本橋堀留町２丁目,-,中央区日本橋堀留町2-4-10,35.6896297,139.7800352,稲荷神社,神社
,中央区,日本橋本石町４丁目,日八京,中央区日本橋本石町4-4-17,35.6885113,139.7710685,白旗稲荷神社,神社
,中央区,新川１丁目,-,中央区新川1-8-17,35.6778005,139.7828717,新川大神宮,神社
,中央区,日本橋兜町,-,中央区日本橋兜町11-3,35.6807035,139.776787,大原稲荷神社,神社
,中央区,新川２丁目,-,中央区新川2-15-14,35.6749738,139.7833905,金刀比羅神社,神社
,中央区,日本橋堀留町２丁目,-,中央区日本橋堀留町2-1-13,35.6876278,139.781608,三光稲荷神社,神社
,中央区,日本橋浜町３丁目,-,中央区日本橋浜町3-3-3,35.6847547,139.7886946,浜町神社,神社
,中央区,日本橋富沢町,-,中央区日本橋富沢町718,35.6889454,139.7827814,稲荷神社,神社
,中央区,日本橋箱崎町,-,中央区日本橋箱崎町4-1,35.6799624,139.78382,稲荷神社,神社
,中央区,八丁堀３丁目,-,中央区八丁堀3-6-6,35.6761059,139.7743188,天祖神社,神社
,中央区,日本橋箱崎町,-,中央区日本橋箱崎町22-11,35.6809747,139.7857873,永久稲荷神社,神社
,港区,新橋２丁目,虎ノ門広域,港区新橋2-15-5,35.6665166,139.7565131,烏森神社,神社
,港区,愛宕１丁目,虎ノ門,港区愛宕1-5-3,35.6650435,139.7484781,愛宕神社,神社
,港区,東新橋２丁目,虎ノ門広域,港区東新橋2-1-1,35.6634065,139.7583782,日比谷神社,神社
,港区,赤坂８丁目,赤坂,港区赤坂8-11-27,35.6686111,139.7281282,乃木神社,神社
,港区,高輪２丁目,-,港区高輪2-14-18,35.6352679,139.7378797,宗教法人高輪神社,神社
,港区,赤坂６丁目,赤坂,港区赤坂6-10-12,35.6683173,139.7361866,赤坂氷川神社,神社
,港区,麻布十番１丁目,-,港区麻布十番1-4-6,35.6569858,139.7351614,十番稲荷神社,神社
,港区,白金２丁目,-,港区白金2-1-7,35.6431456,139.7312962,白金氷川神社,神社
,港区,虎ノ門１丁目,虎ノ門,港区虎ノ門1-2-7,35.6695952,139.7480332,金刀比羅宮,神社
,港区,三田３丁目,-,港区三田3-7-16,35.6432179,139.7414723,御田八幡神社,神社
,港区,芝大門１丁目,-,港区芝大門1-12-7,35.6576591,139.7530653,芝大神宮,神社
,港区,元麻布１丁目,-,港区元麻布1-4-23,35.65288150000001,139.7310499,麻布氷川神社,神社
,港区,南麻布４丁目,-,港区南麻布4-5-61,35.6504406,139.7236252,廣尾稲荷神社,神社
,港区,三田２丁目,-,港区三田2-13-9,35.649697,139.7444262,三田春日神社,神社
,港区,六本木７丁目,六本木,港区六本木7-7-7,35.6651445,139.7292387,天祖神社・龍土神明宮,神社
,港区,西麻布４丁目,-,港区西麻布4-9-2,35.6568885,139.7229433,神道大教,教会
,港区,芝公園４丁目,-,港区芝公園4-8-10,35.6551089,139.7486179,東照宮,神社
,港区,六本木６丁目,六本木,港区六本木6-7-14,35.6618568,139.7325376,朝日神社,神社
,港区,白金台２丁目,-,港区白金台2-26-14,35.631498,139.7295726,真先稲荷神社,神社
,港区,芝３丁目,-,港区芝3-12-19,35.6528143,139.7460393,柳神社,神社
,港区,北青山３丁目,-,港区北青山3-5-26,35.6657458,139.7121877,秋葉神社,神社
,港区,高輪２丁目,-,港区高輪2-15-10,35.6374988,139.7390627,稲荷神社,神社
