0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,指標名,観光地,,,,,,,,,
,出典,google places API,,,,,,,,,
,年次,2026/02/18取得,,,,,,,,,
,URL,google places API,,,,,,,,,
,備考,(2023年度：2497件、2024年度：2355件、2025年度：1889件),,,,,,,,,
,,,,,,,,,,,
,区,町丁目,エリア,住所,緯度,経度,施設名,ジャンル,星,口コミ数,place_id
,江東区,永代１丁目,-,東京都江東区永代1-1−10,35.6748413,139.7884902,永代公園,"park, tourist_attraction, point_of_interest, establishment",3.9,122,ChIJxSHQGGqJGGARTVThYJxxcfY
,江東区,越中島１丁目,-,東京都江東区越中島1-3−1越中島公園,35.6687489,139.7897371,越中島公園,"park, tourist_attraction, point_of_interest, establishment",3.8,400,ChIJpfNnlW2JGGARQg-Kbs9z38o
,江東区,越中島１丁目,-,東京都江東区越中島1-3-26,35.6677433,139.7887714,中の島公園,"park, tourist_attraction, point_of_interest, establishment",3.7,181,ChIJo6_p-W2JGGARZ8RlrePLg4U
,江東区,豊洲２丁目,-,東京都江東区豊洲2-3−6豊洲公園,35.6533777,139.793127,豊洲公園,"park, tourist_attraction, point_of_interest, establishment",4.2,1369,ChIJ7bIgW6KJGGARA5Hcnfzdmbk
,江東区,豊洲２丁目,-,東京都江東区豊洲2-3春海橋公園,35.6534771,139.7920889,春海橋公園,"park, tourist_attraction, point_of_interest, establishment",4.3,513,ChIJ0V_XkpiJGGARBfWPveXIMjI
,江東区,豊洲２丁目,-,東京都江東区豊洲2-4−9アーバンゲートブリッジ,35.6548755,139.7911163,アーバンゲートブリッジ,"tourist_attraction, point_of_interest, establishment",4.2,76,ChIJg2hxLJ-JGGARk1sAcBCtvTY
,江東区,豊洲１丁目,-,東京都江東区豊洲1-8,35.6444036,139.7920319,木遣り橋(きやりばし),"tourist_attraction, point_of_interest, establishment",3.9,24,ChIJAfg9jZCJGGARXNZhyE1pxVw
,江東区,豊洲６丁目,-,東京都江東区豊洲6-5−5,35.6456653,139.7838003,豊洲江戸前通り,"tourist_attraction, point_of_interest, establishment",4,2,ChIJp6vnLwCJGGAR6r-KjTMWpHA
,江東区,豊洲６丁目,-,東京都江東区豊洲6-2−35豊洲六-公園,35.646484,139.7916094,豊洲六丁目公園,"park, tourist_attraction, point_of_interest, establishment",3.8,341,ChIJF9dvbpaJGGARDlVYFCFnFCY
,江東区,豊洲６丁目,-,東京都江東区豊洲6-2−35,35.6467076,139.7909781,豊洲６丁目SKYZ自治会（江東区コミュニティガーデン）,"tourist_attraction, point_of_interest, establishment",0,0,ChIJeTE8HgCJGGARd7qQMnMo86I
,江東区,豊洲６丁目,-,東京都江東区豊洲6-5−5,35.6454679,139.7838591,豊洲目抜き大通り,"tourist_attraction, point_of_interest, establishment",4.1,15,ChIJy151egCJGGARskFd8VJqAhg
,江東区,門前仲町２丁目,-,東京都江東区門前仲町2-9−4,35.6730826,139.7959278,辰巳新道,"tourist_attraction, point_of_interest, establishment",4.3,125,ChIJneXPqROJGGARWFIGQSM-VXE
,江東区,門前仲町１丁目,-,東京都江東区門前仲町1-19−15,35.6740021,139.7949458,深川モダン館通り,"tourist_attraction, point_of_interest, establishment",3,1,ChIJN03VagCJGGARZK9xpKHIBII
,江東区,門前仲町１丁目,-,東京都江東区門前仲町1-19−19,35.6740164,139.7951561,モダン館,"tourist_attraction, point_of_interest, establishment",0,0,ChIJQ9MhTACJGGARb7MxojrS2W8
,江東区,富岡１丁目,-,東京都江東区富岡1-20−3,35.6718509,139.8000856,横綱力士碑,"tourist_attraction, point_of_interest, establishment",4.3,12,ChIJywgGNgCJGGARxnDbNcLHOcY
,江東区,豊洲２丁目,-,東京都江東区豊洲2-4−9,35.656345,139.7913545,マジックスタジオ,"tourist_attraction, point_of_interest, establishment",0,0,ChIJkdWvuqeJGGARQdVF61iO20U
,江東区,富岡１丁目,-,東京都江東区富岡1-14−14,35.6731289,139.7974781,深川なごみの庭（江東区コミュニティガーデン）,"tourist_attraction, point_of_interest, establishment",0,0,ChIJY76MegCJGGARKEEgEW92mU4
,江東区,豊洲２丁目,-,東京都江東区豊洲2-4−9,35.656345,139.7913545,キッザニアパーティ 個室,"tourist_attraction, point_of_interest, establishment",0,0,ChIJTa3UO_KJGGARcYziWt1Bo48
,江東区,豊洲３丁目,-,東京都江東区豊洲3-5,35.6572481,139.7968687,豊洲セントラルガーデン（江東区コミュニティガーデン）,"tourist_attraction, point_of_interest, establishment",0,0,ChIJSWp2dACJGGARMUcq_G9iPcY
,江東区,富岡１丁目,-,東京都江東区富岡1-1−2,35.6710845,139.7955127,石島橋,"tourist_attraction, point_of_interest, establishment",4.1,78,ChIJ7Y8djBKJGGARwOKvm1RBRNM
,江東区,牡丹２丁目,-,東京都江東区牡丹2-2−2,35.6689005,139.7962707,牡丹2、３丁目笑寿会（江東区コミュニティガーデン）,"tourist_attraction, point_of_interest, establishment",0,0,ChIJOZ27SgCJGGARAvIKA9eAw4w
,江東区,清澄２丁目,-,東京都江東区清澄2-11−5,35.6825961,139.7961528,清澄テラスガーデン倶楽部（コミュニティガーデン）,"tourist_attraction, point_of_interest, establishment",0,0,ChIJLX9PBQCJGGARJ71BCAf9UIs
,江東区,清澄３丁目,-,東京都江東区清澄3-3−9大磯渡り,35.6803133,139.7974956,松島,"tourist_attraction, point_of_interest, establishment",4.3,4,ChIJmSfDWQCJGGAREOuOiuNAqCk
,江東区,門前仲町１丁目,-,東京都江東区門前仲町1-3−2−7,35.6715938,139.7941064,黒船橋,"tourist_attraction, point_of_interest, establishment",4,81,ChIJQ0Y72WyJGGARRpfqzhcYqOo
,江東区,新大橋１丁目,-,東京都江東区新大橋1-1−6,35.6872658,139.7941901,街角の極楽鳥花（ストレリチア）,"tourist_attraction, point_of_interest, establishment",4,1,ChIJxVnWCgCJGGARlow5HltWW7c
