0,1,2,3,4,5,6,7,8,9
,,,,,,,,,
,指標名,大学キャンパス,,,,,,,
,出典,教育ソリューション株式会社「全国学校データ」,,,,,,,
,年次,2026年版,,,,,,,
,URL,https://kyouikusolution.co.jp/,,,,,,,
,備考,(2023年度：97件、2024年度：97件、2025年度：110件）,,,,,,,
,,,,,,,,,
,区,町丁目,エリア,住所,緯度,経度,大学,キャンパス,運営者区分
,江東区,越中島２丁目,-,東京都江東区越中島2-1-6,35.6681615,139.7911641,東京海洋大学,越中島キャンパス,国立
,江東区,塩浜２丁目,-,東京都江東区塩浜2-22-10,35.6647761,139.8137411,東京保健医療専門職大学,,私立
,江東区,豊洲３丁目,-,東京都江東区豊洲3-7-5,35.660633,139.7951989,芝浦工業大学,豊洲キャンパス,私立
,江東区,有明３丁目,-,東京都江東区有明3-3-3,35.630624,139.7865983,武蔵野大学,有明キャンパス,私立
,江東区,有明２丁目,-,東京都江東区有明2-9-1,35.6416946,139.7965832,東京有明医療大学,,私立
,港区,北青山１丁目,-,東京都港区北青山1-7-15,35.6776155,139.7201919,東北芸術工科大学,外苑キャンパス,私立
,港区,赤坂４丁目,赤坂,東京都港区赤坂4-1-26,35.676412,139.7347065,国際医療福祉大学,東京赤坂キャンパス,私立
,港区,港南４丁目,-,東京都港区港南4-5-7,35.6246924,139.7475137,東京海洋大学,品川キャンパス,国立
,港区,芝浦３丁目,-,東京都港区芝浦3-3-6,35.6443468,139.7478009,東京科学大学,田町キャンパス,国立
,港区,海岸,-,東京都港区海岸1-7-1東京ポ-トシティ竹芝オフィスタワ-8f,35.6552143,139.7606699,情報経営イノベーション専門職大学,竹芝サテライトオフィス,私立
,港区,白金５丁目,-,東京都港区白金5-9-1,35.6448201,139.7257979,北里大学,白金キャンパス,私立
,港区,三田２丁目,-,東京都港区三田2-15-45,35.6492141,139.7418255,慶應義塾大学,三田キャンパス,私立
,港区,芝公園１丁目,-,東京都港区芝公園1-5-30,35.65865,139.7514588,慶應義塾大学,芝共立キャンパス,私立
,港区,港南２丁目,-,東京都港区港南2-14-14品川インタ-シティフロント5階,35.6285446,139.742095,多摩大学,品川サテライト,私立
,港区,西新橋３丁目,虎ノ門広域,東京都港区西新橋3-25-8,35.662429,139.7508334,東京慈恵会医科大学,西新橋キャンパス,私立
,港区,白金台１丁目,-,東京都港区白金台1-2-37,35.6370961999999,139.7306903,明治学院大学,白金キャンパス,私立
,港区,高輪２丁目,-,東京都港区高輪2-3-23,35.6375972,139.734856,東海大学,品川キャンパス,私立
,港区,愛宕１丁目,虎ノ門,東京都港区愛宕1-3-4愛宕東洋ビル12f,35.6659425,139.7495696,金沢工業大学,虎ノ門キャンパス,私立
,港区,北青山１丁目,-,東京都港区北青山1-7-15,35.6776155,139.7201919,京都芸術大学,東京・外苑キャンパス,私立
,港区,六本木７丁目,六本木,東京都港区六本木7-22-1,35.6637325,139.7274,政策研究大学院大学,,国立
,港区,六本木６丁目,六本木,東京都港区六本木6-4-1六本木ヒルズハリウッドプラザ,35.6614072,139.7300377,ハリウッド大学院大学,,私立
,港区,南青山３丁目,-,東京都港区南青山3-13-16,35.665382,139.713606,事業構想大学院大学,,私立
,渋谷区,渋谷４丁目,-,東京都渋谷区渋谷4-4-25,35.6597266,139.710769,青山学院大学,青山キャンパス,私立
,渋谷区,千駄ケ谷１丁目,-,東京都渋谷区千駄ケ谷1-1-12,35.6778713,139.7087616,桜美林大学,千駄ヶ谷キャンパス,私立
,渋谷区,東４丁目,-,東京都渋谷区東4-10-28,35.6555019,139.7114629,國學院大学,渋谷キャンパス,私立
